Hospital Name,Link,State,Address,"""Always"" quiet at night","""Usually"" quiet at night","Room was ""always"" clean","Room was ""usually"" clean","Patients ""always"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Doctors ""always"" communicated well","Doctors ""usually"" communicated well","Nurses ""always"" communicated well","Nurses ""usually"" communicated well","Staff ""always"" explained","Staff ""usually"" explained"
White Plains Hospital Center,https://www.yelp.com/biz/white-plains-hospital-white-plains,NY,41 East Post R0Ad,56,31,81,15,67,25,83,14,85,13,68,17
Cayuga Medical Center At Ithaca,https://www.yelp.com/biz/cayuga-medical-center-ithaca-5,NY,101 Dates Drive,53,33,68,24,71,23,79,17,81,16,64,20
Plainview Hospital,https://www.yelp.com/biz/plainview-hospital-plainview,NY,888 Old Country Road,41,36,66,24,63,27,75,19,75,20,58,16
St Joseph Hospital,https://www.yelp.com/biz/st-josephs-hospital-bethpage-2,NY,4295 Hempstead Turnpike,43,38,63,24,57,30,74,19,76,19,55,20
North Central Bronx Hospital,https://www.yelp.com/biz/nyc-health-hospitals-north-central-bronx-bronx,NY,3424 Kossuth Avenue & 210Th Street,59,23,74,17,48,23,76,17,68,18,54,17
Catskill Regional Medical Center,https://www.yelp.com/biz/catskill-regional-medical-center-harris-5,NY,68 Harris Bushville Road,50,36,71,19,69,23,77,17,76,19,58,21
University Hospital At Stony Brook,https://www.yelp.com/biz/stony-brook-university-hospital-stony-brook,NY,Health Sciences Center Suny,40,36,66,23,59,28,76,19,79,16,59,18
United Health Services Hospitals,https://www.yelp.com/biz/uhs-binghamton-general-hospital-binghamton,NY,10-42 Mitchell Avenue,42,33,71,19,65,25,73,20,74,21,58,23
St John's Episcopal Hospital At South Shore,https://www.yelp.com/biz/st-johns-episcopal-hospital-far-rockaway-2,NY,327 Beach 19Th Street,47,26,64,21,44,33,73,17,72,18,51,14
Woodhull Medical And Mental Health Center,https://www.yelp.com/biz/nyc-health-hospitals-woodhull-brooklyn,NY,760 Broadway,53,33,70,19,50,25,72,20,67,20,50,19
Interfaith Medical Center,https://www.yelp.com/biz/interfaith-medical-center-brooklyn-7,NY,1545 Atlantic Avenue,53,23,71,16,52,19,68,17,68,17,55,21
St Barnabas Hospital,https://www.yelp.com/biz/st-barnabas-hospital-bronx-6,NY,4422 Third Avenue,52,29,69,18,49,27,75,17,66,21,50,17
St Catherine Of Siena Hospital,https://www.yelp.com/biz/st-catherine-of-siena-medical-center-smithtown,NY,50 Route 25A,42,36,70,20,58,29,72,20,76,18,55,19
Hamilton Community Memorial Hospital,https://www.yelp.com/biz/hamilton-community-memorial-hospital-hamilton,NY,150 Broad Street,65,31,81,15,73,23,88,10,89,9,79,15
